,ExperimentPondID,Protein.AF,FAME.Lipids.AF,Carbohydrates.AF,Duration.days,time.between.harvests.days,Harvest.Vol..L.,AFDW..g.,Depth.cm,pH_x,Temp.C,NO3.mg.L,P.mg.L,OD750,Temp.avg (C),Cond (mS.cm),DO (mg.L),DO (%sat),Sal (g.L),PAR (umol.m2.s),AirTemp(C),RH(%),GlobalLightEnergy(W.m2),WindSpeed(km.hr),Precip.tot(cm),StrainID
0,OCT172013P1,41.73696969696968,14.664137931034485,8.207272727272727,32.66029411764707,18.9994212955,1069.6558333333332,396.9761475308642,26.124999999999996,8.192666666666666,9.455555555555556,21.08565217391304,1.1227272727272728,1.2628125000000001,12.64764705882353,41564.8817647059,5.919705882352941,67.54352941176471,27.693333333333328,252.19099999999997,14.725000000000001,56.72764705882353,130.25588235294114,6.740588235294117,0.24941176470588236,KA32
1,OCT172013P2,42.03419354838709,14.957826086956526,8.05483870967742,32.66058823529413,22.822337961666666,1064.0695833333332,396.3240198176495,25.942000000000004,8.146333333333335,9.505555555555555,19.674782608695647,0.9390909090909091,1.2737500000000006,12.33090909090909,43375.902058823536,7.814117647058822,88.3308823529412,28.99575757575758,,14.725000000000001,56.72764705882353,130.25588235294114,6.740588235294117,0.24941176470588236,KA32
2,OCT172013P3,42.112903225806456,14.910869565217387,8.299354838709675,33.650303030303036,22.822337961666666,1061.8999999999999,379.3506808664767,25.90322580645161,8.109,9.472222222222221,17.157826086956526,0.9363636363636364,1.28741935483871,13.820454545454544,44828.14454545454,9.296060606060605,105.74636363636364,30.014687499999997,268.91333333333336,14.615757575757577,55.77757575757576,132.90757575757573,6.679090909090909,0.24151515151515152,KA32
3,OCT172013P4,37.60193548387097,18.2332,8.625806451612902,32.66058823529413,19.308449073333332,1067.48625,416.734359508547,26.21451612903226,8.099666666666666,9.500000000000002,4.966521739130435,0.30727272727272725,1.1615625,12.791764705882354,44171.610588235286,9.12970588235294,99.59499999999998,29.58575757575757,,14.725000000000001,56.72764705882353,130.25588235294114,6.740588235294117,0.24941176470588236,KA32
4,OCT172013P5,38.39551724137931,17.4004347826087,9.021724137931034,33.9725806451613,23.052083332000002,1069.28,385.87012543960964,26.07655172413793,8.18034482758621,9.43529411764706,3.9433333333333334,0.28909090909090907,1.1668965517241379,12.440322580645162,42270.0277419355,7.583870967741935,85.0858064516129,28.25733333333333,,14.578064516129032,56.50000000000001,132.92580645161286,6.993225806451613,0.25709677419354837,KA32
5,OCT172013P6,38.67741935483872,17.73227272727273,8.632413793103446,32.67529411764707,22.822337961666666,1055.75,335.765029765245,25.87645161290322,8.195,9.733333333333333,4.7873913043478264,0.2745454545454546,1.1609375,12.415,38632.49647058823,6.693235294117647,76.27735294117646,25.652727272727276,275.935,14.725000000000001,56.72764705882353,130.25588235294114,6.740588235294117,0.24941176470588236,KA32
6,APR032014P1,40.16750000000001,13.6592,7.7016,26.35344827586208,8.597373188043477,706.5324999999999,271.1778812424555,24.446153846153848,7.9588,17.388,50.849642857142854,6.093478260869567,1.2106896551724138,20.16896551724138,35053.355172413794,9.004137931034482,114.68034482758618,31.915357142857147,430.8241666666667,21.738965517241382,56.226551724137934,261.0448275862069,4.7317241379310335,0.033448275862068964,KA32
7,APR032014P2,39.462903225806464,13.9928125,7.373750000000001,22.05648648648649,7.414930555291668,664.665909090909,258.8230855115828,24.626923076923084,8.004615384615384,17.784615384615385,50.190344827586216,5.4708,1.1483783783783785,21.772702702702706,39106.90216216217,8.253783783783785,116.39297297297294,32.57324324324325,388.1325,22.66756756756757,60.35540540540539,272.65918918918914,4.800810810810811,0.08513513513513513,KA32
8,APR032014P3,41.60727272727273,13.513478260869567,7.633043478260867,26.35344827586208,9.803442028608695,709.095,285.77127936387916,24.398076923076925,7.947600000000001,17.516,45.957142857142856,5.734347826086956,1.286896551724138,20.633448275862065,35481.50827586207,7.980000000000001,111.46517241379311,32.04275862068965,583.9725,21.738965517241382,56.226551724137934,261.0448275862069,4.7317241379310335,0.033448275862068964,KA32
9,APR032014P4,38.1803125,13.43875,7.567187500000001,19.497941176470594,6.04057539652381,460.0631578947369,163.69851351284188,24.40625,7.9458333333333355,18.27916666666667,50.040384615384625,5.613913043478261,1.0849999999999997,22.607500000000005,41238.65529411764,8.183823529411766,116.38323529411765,34.079411764705874,,23.024705882352947,60.48941176470589,268.9611764705882,4.370294117647059,0.09264705882352942,KA32
10,APR032014P5,39.915000000000006,13.201600000000001,7.850000000000001,24.84642857142857,5.6205729164583325,441.10652173913047,159.47512227343736,24.632,7.992692307692308,17.849999999999998,44.35481481481482,5.217619047619048,1.14,21.49642857142857,36976.72107142857,7.707142857142857,106.67107142857144,32.277499999999996,,21.74142857142857,57.2425,256.09678571428566,5.043928571428571,0.11071428571428572,KA32
11,APR032014P6,38.78281249999999,13.938787878787881,7.580303030303032,21.561351351351355,5.675568181545454,545.3931818181818,200.63047006618862,24.633928571428573,7.92037037037037,18.21111111111111,51.918965517241375,6.244782608695652,1.064054054054054,22.884545454545457,42310.12648648649,7.767837837837838,110.60864864864865,34.66837837837837,663.5625,22.858108108108112,60.64756756756757,271.2262162162162,4.7405405405405405,0.08513513513513513,KA32
