,ExperimentPondID,lipids_avg_list,protein_avg_list,carb_avg_list,AFDW_avg_list,depth_avg_list,pH_avg_list,Phosphorus_avg_list,OD750_avg_list,temp_avg_list,Conductivity_avg_list,DO_density_avg_list,DO_sat_avg_list,Sal_avg_list,rad_avg_list,airtemp_avg_list,humid_avg_list,Light_avg_list,Wind_avg_list,Precip_avg_list
0,OCT172013P1,15.324444444444445,43.030833333333334,7.81,504.42368335000003,25.977500000000003,8.490833333333333,0.6833333333333335,1.8041666666666665,13.239166666666668,47172.0025,7.875833333333333,90.97916666666667,30.740833333333338,0.0,15.775,51.9275,138.94,4.1325,0.47500000000000003
1,OCT172013P2,15.904285714285717,42.7525,7.8125,516.27071875,25.850833333333338,8.3875,0.6344444444444445,1.7966666666666669,,45731.665,6.7025,76.49249999999999,29.70166666666667,,15.775,51.9275,138.94,4.1325,0.47500000000000003
2,OCT172013P3,16.474285714285713,41.942499999999995,8.409166666666666,515.24016665,25.7975,8.275833333333333,0.5822222222222223,1.7783333333333335,13.004166666666665,46970.28166666667,9.336666666666666,108.78333333333335,30.579166666666666,,15.775,51.9275,138.94,4.1325,0.47500000000000003
3,OCT172013P4,22.2975,35.84083333333333,9.180833333333334,501.9911875,25.855833333333333,7.931666666666666,0.1577777777777778,1.6033333333333333,13.150833333333333,48173.55250000001,9.058333333333332,93.2,31.460000000000004,,15.775,51.9275,138.94,4.1325,0.47500000000000003
4,OCT172013P5,19.937142857142856,38.0375,9.504166666666666,498.47116665,25.770833333333332,8.370833333333335,0.13666666666666666,1.6283333333333332,13.054166666666667,49701.434166666666,7.31,84.65666666666665,32.45333333333333,,15.775,51.9275,138.94,4.1325,0.47500000000000003
5,OCT172013P6,20.951428571428572,38.04750000000001,8.799166666666666,460.7375,25.711666666666662,8.233333333333334,0.12666666666666668,1.5791666666666666,,37465.79,4.670833333333333,56.416666666666664,24.142500000000002,275.935,15.775,51.9275,138.94,4.1325,0.47500000000000003
6,APR032014P1,14.287500000000001,44.45,8.1525,322.0208333333333,23.916666666666668,8.305,4.7299999999999995,1.3850000000000002,19.6725,49870.917499999996,8.8125,119.80999999999999,32.8775,,24.4975,14.377500000000001,309.85499999999996,7.9925,0.0
7,APR032014P2,15.222500000000002,43.775,8.2875,141.79166665666665,23.416666666666668,8.3425,6.2299999999999995,1.3875000000000002,18.655,52163.3425,8.192499999999999,109.57249999999999,34.347500000000004,,24.4975,14.377500000000001,309.85499999999996,7.9925,0.0
8,APR032014P3,14.6025,46.112500000000004,9.08,314.0486111,23.333333333333332,8.350000000000001,6.442500000000001,1.4100000000000001,19.6725,50253.69750000001,8.6475,118.03250000000001,33.1575,,24.4975,14.377500000000001,309.85499999999996,7.9925,0.0
9,APR032014P4,14.58,44.4175,8.0175,143.02546298000001,23.5,8.354999999999999,5.2475,1.4125,18.665,53502.4,9.959999999999999,134.0025,35.332499999999996,,24.4975,14.377500000000001,309.85499999999996,7.9925,0.0
10,APR032014P5,14.13,44.805,8.4875,323.1597222333333,23.583333333333332,8.502500000000001,4.612500000000001,1.48,19.3625,50045.4225,8.719999999999999,118.0825,33.0025,,24.4975,14.377500000000001,309.85499999999996,7.9925,0.0
11,APR032014P6,14.860000000000001,42.92,9.2575,130.21296295333335,23.25,8.4,5.74,1.34,,52373.11,8.99,120.06,34.5125,663.5625,24.4975,14.377500000000001,309.85499999999996,7.9925,0.0
12,SEP102014P1,11.93,38.462500000000006,8.01,262.35119050000003,24.708333333333332,8.268333333333333,3.1633333333333336,1.0279999999999998,22.895,50948.753333333334,8.436666666666667,121.64333333333333,33.46333333333333,,25.820000000000004,46.01,210.7783333333333,2.3049999999999997,0.085
13,SEP102014P2,12.081,38.979,7.492999999999999,168.54843749999998,24.624615384615385,8.340000000000002,3.31,0.8992307692307695,22.96076923076923,51314.873846153845,8.610769230769233,123.82153846153847,33.76538461538461,,25.842307692307692,47.22307692307693,205.55076923076922,2.7007692307692315,0.12307692307692308
